,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-162.84791467543616,43.37240004101472,-234.73517413739538,-81.65218573903778,,
1,0,-98.48441699836658,46.34290342544247,-198.49062055171237,-19.644744854025888,2.6981289386749268,0.00680477125570178
2,1,-82.04143696876918,36.909740818311136,-151.25758659421916,-23.177065639485726,0.024897970259189606,0.0012805546866729856
3,2,-109.6652731435893,30.82012736198955,-170.84424909326958,-71.16223766115688,0.01923898234963417,5.998338747303933e-05
4,3,-86.60964444908606,75.25656288165096,-215.41984998364575,49.79592163674562,0.023245036602020264,2.0709610907942988e-05
5,4,-6.799305115021878,30.340087427382613,-67.49757340149372,33.65459224365772,0.01909084990620613,0.0005096622044220567
6,5,-45.897269311473906,42.22406375151409,-146.57352894202523,7.731051347989151,0.01056603342294693,0.00021722067322116345
7,6,-19.599177629670613,35.49885820255292,-65.6011376333052,42.26972947519198,0.010604680515825748,5.8142264606431127e-05
8,7,80.15614324335331,21.788981848166387,33.106520388978026,115.80825693017202,0.00913391262292862,1.0460801604494918e-05
9,8,41.347085174154316,26.79933075161851,3.499018346558655,102.04016142498371,0.010739633813500404,0.0004374640993773937
10,9,63.228817642522905,35.045877892071765,5.581154955225028,116.18083059566088,0.006644119508564472,0.0002840259112417698
11,10,187.37477087603472,27.36463722400906,146.66865734600384,236.6753182232581,0.005954050458967686,8.777975745033473e-05
